,index,id,product_uid,product_title,search_term,relevance,product_uid.1,product_description,attributes,NumOfWordsInSearchTerm,NumOfCharsInSearchTerm,NumOfWordsInTitle,NumOfCharsInTitle,NumOfWordsInProdDescrip,NumOfCharsInProdDescrip,NumOfCharsInBrand,SearchAndTitleMatch,SearchAndTitleNAdjMatch,SearchAndDescriptionMatch,SearchAndDescriptionNAdjMatch,SearchAndProductBrandMatch,SearchAndProductBulletsMatch,SearchAndProductSizeMatch,SearchAndProductWeightMatch,SearchAndProductSizeInRange,SearchAndProductWeightInRange,SearchAndProductLastWordMatch,SearchAndProductLastWordNAdjMatch,RatioOfDescripToSearch,RatioOfTitleToSearch
0,1071,3356,100593,"Hampton Bay Legion 1,000 sq. ft. Panoramic Infrared Electric Stove",infered heaters,3.0,100593,"This outdoor motion sensor battery powered LED patio/security light is the perfect alternative to wired outdoor lighting. It senses motion up to 25 ft. away and illuminates the area chosen for 1 minute or 5 minutes, depending on your desired setting. This light fixture provides warm, bright energy saving light for your entrance, patio, or anywhere you need light to be available without electrical installation. The solid metal construction and black matte finish also provides a rich and impressive appearance. Installation is easy because there are no wires to run. Simply use the included screws and mounting bracket (noted in instructions). With a built in Dusk to Dawn sensor this light will never illuminate during the day. Also includes a sensitivity setting to adjust the intensity of the motion sensor function.24 super bright eco friendly LEDsStrong construction with steel and aluminum frameIncludes 180 degree motion detectionAdjustable sensitivity settings2-illumination time settings: 1 minute and 5 minutesDusk to dawn photocell technologyUtilizes 3 'D' cell batteries (sold separately)Unit can function up to 100 hours on 1 set of new batteries (subject to placement and weather conditions)Home Depot Protection Plan:","[('Area Heated (Sq. Ft.)', '1000'), ('Assembled Depth (in.)', '11.00 in'), ('Assembled Height (in.)', '23.00 in'), ('Assembled Width (in.)', '20.00 in'), ('Assembly Required', 'Yes'), ('Bullet01', 'Infrared quartz heating technology provides supplemental heat for up to 1,000 sq. ft.'), ('Bullet02', 'Operable doors with glass panels'), ('Bullet03', 'Patented 3-sided fire and ember bed view design'), ('Bullet04', 'Flame operates with or without heat for year-round enjoyment'), ('Bullet05', 'Matte black finish'), ('Certifications and Listings', 'CSA Certified'), ('Features', 'Adjustable Thermostat,Infrared'), ('Firebox depth (in.)', '9'), ('Firebox height (in.)', '13.25'), ('Firebox width (in.)', '18.5'), ('Material', 'Steel'), ('MFG Brand Name', 'Hampton Bay'), ('Mount type', 'Freestanding'), ('Number of Heat Settings', '1'), ('Product Depth (in.)', '11'), ('Product Height (in.)', '23'), ('Product Weight (lb.)', '26'), ('Product Width (in.)', '20'), ('Vented or Vent-Free', 'Vent-Free'), ('Voltage (volts)', '120'), ('Wattage (watts)', '1500')]",2,15,10,66,186,1235,11,0,0,0,0,0,0,False,False,False,False,0,0,93,5
1,1158,3624,100632,Glacier Bay 2-piece Dual Flush Round Toilet in White,glacie bay dual flush,1.67,100632,Flexible Aluminum pipe is designed for easy installation. It's flexible and can be maneuvered into tight areas as needed. Product holds it's shape and can be cut to size.Aluminum constructionEasily expands to desired lengthFlexible for tight corners and small placesEasily cut and sized to fit,"[('Bowl Height', 'Comfort Height'), ('Bowl Height (in.)', '16.5'), ('Bowl Shape', 'Round'), ('Bullet01', 'Includes all components needed for installation, including a wax ring, floor bolt caps, toilet seat with lid and water tank with cover'), ('Bullet02', 'Toilet water supply line not included'), ('Bullet03', 'Constructed of durable, crack-resistant vitreous china'), ('Bullet04', 'Dual-flush option allows users to conserve water by choosing an ultra-low flush for liquids'), ('Bullet05', 'Bowl height is 16-1/2 in.'), ('Bullet06', 'Equipped with a fully glazed 2 in. trapway'), ('Bullet07', 'Rough-in measurement is 12 in.'), ('Bullet08', 'Reduced water consumption results in lower utility bills and helps to preserve a natural resource'), ('Bullet09', ""Merits EPA's WaterSense distinction for water sustainability""), ('Certifications and Listings', 'IAPMO Certified'), ('Color Family', 'White'), ('Color/Finish', 'White'), ('Commercial / Residential', 'Residential'), ('Flush Valve Size (in.)', '3'), ('Flushing Mechanism', 'Gravity Flush'), ('Flushing Technology', 'Dual Flush'), ('Flushing Type', 'Dual Flush'), ('Gallons Per Flush', '1.27'), ('MaP Performance Rating', '1000'), ('Material', 'Vitreous China'), ('MFG Brand Name', 'Glacier Bay'), ('Mount Location', 'Floor Mount'), ('Product Depth (in.)', '28.5'), ('Product Height (in.)', '33.75'), ('Product Weight (lb.)', '83.3'), ('Product Width (in.)', '18'), ('Rough In Size', '12'), ('Toilet Features', 'Complete Kit'), ('Toilet Included Components', 'Seat'), ('Trip Lever Location', 'Top')]",4,21,9,52,45,293,11,3,2,0,0,1,1,False,False,False,False,0,0,11,2
2,1884,5801,100999,KOHLER Wellworth Classic Complete Solution 2-piece 1.28 GPF Single Flush Round Toilet in White,hhigh efficiency round toilet in white,3.0,100999,"With its sweeping lines and smooth curves, the new Park-field flows effortlessly like water itself and, like the arching curve of a water fountain the spout guides water to the perfect position for function and comfort. Inspired by nature, the lever has a fluid form that is reminiscent of a leaf, while the protruding underside resembles the shape of water held below a leaf by tension until it finally drops to the ground. The increased organic volume of the lever gives the faucet a more tactile feel that improves usability and set to precisely 7, it invites interaction while boldly communicating the GROHE brand DNA.Metal lever handleTempest a rustic showerhead5-5/8 in. tubular shower armTub spout","[('Bowl Height', 'Standard'), ('Bowl Height (in.)', '14.5'), ('Bowl Shape', 'Round'), ('Bullet01', '27-1/2 in. L x 19-5/8 in. W x 28-1/4 in. H'), ('Bullet02', 'Complete solution toilets are built for convenience and efficiency, providing everything you need in one box as they include the toilet bowl, toilet tank, toilet seat, wax ring and floor hardware'), ('Bullet03', 'Note: complete solution toilets do not include a supply line as the length needed varies per installation'), ('Bullet04', 'Class five flushing technology provides tremendous bulk waste flushing performance and best-in-class bowl cleanliness'), ('Bullet05', '2-piece toilet'), ('Bullet06', 'Canister flush valve provides smooth flushing actuation with consistent water usage, flush after flush'), ('Bullet07', '1.28 GPF high-efficiency toilets provide significant water savings of up to 16,300 GPY versus an old 3.5 Gal. toilet without sacrificing performance'), ('Bullet08', ""Meets strict flushing performance guidelines established by the EPA's (Environmental Protection Agency) WaterSense program""), ('Bullet09', 'Qualifies as HET (high-efficiency toilet) consumer rebates are available in certain municipalities'), ('Bullet10', '12 in. rough-in'), ('Bullet11', 'Round bowl'), ('Bullet20', 'Note: product may vary by store'), ('Certifications and Listings', 'No Certifications or Listings'), ('Color Family', 'White'), ('Color/Finish', 'White'), ('Commercial / Residential', 'Residential'), ('Flush Valve Size (in.)', '3'), ('Flushing Mechanism', 'Gravity Flush'), ('Flushing Technology', 'Gravity Fed'), ('Flushing Type', 'Single Flush'), ('Gallons Per Flush', '1.28 gal (US)'), ('MaP Performance Rating', '1000'), ('Material', 'Vitreous China'), ('MFG Brand Name', 'KOHLER'), ('Mount Location', 'Floor Mount'), ('Product Depth (in.)', '27.5'), ('Product Height (in.)', '28.25'), ('Product Weight (lb.)', '97'), ('Product Width (in.)', '19.625'), ('Rough In Size', '12'), ('Toilet Features', 'Complete Kit'), ('Toilet Included Components', 'Handle,Seat'), ('Trip Lever Location', 'Left Side')]",6,38,14,94,115,704,6,3,3,0,0,0,5,False,False,False,False,1,1,19,2
3,2225,6849,101173,Apache Mills Weave Brown 8-1/4 in. x 2 ft. 6 in. Stair Tread,outside doors,2.33,101173,"The 130 lb. Freestanding Icemaker from Maxx Ice produces up to 135 lbs. of ice per day in a self-contained, 35 lb. capacity storage bin. Stainless steel construction provides durability to a unit that is low-maintenance and easy to clean. The unit produces crystal clear, bullet-shaped ice cubes that work great for applications in homes, restaurants, bars, hotels, grocery stores and more. Suitable for freestanding or built-in setup, it runs on a standard household electrical current and is NSF and UL approved for commercial use.ENERGY STAR qualified to meet or exceed federal guidelines for energy efficiency, which means year-round energy savingsUp to 130 lbs. of daily ice production to provide a steady supply35 lb. storage bin with automatic overflow prevention for worry-free ice makingProduces high-quality, crystal clear ice cubesStainless steel exterior offers durability with a sleek, stylish lookDesigned for household or commercial applicationsIce scoop included for convenienceBuilt-in or freestanding design for a variety of installation optionsAdjustable legs offer flexibility on uneven flooringDrain pump sold separately; gravity drain requiredRequires water supply, drain and filter","[('Bullet01', 'Brown weave design adds a classic look to any entrance'), ('Bullet02', 'Made from over 90% recycled rubber, this doormat prevents tires from going to the landfill'), ('Bullet03', 'Machine Made'), ('Bullet04', 'Slip-resistant recycled rubber backing keeps the mat in place'), ('Bullet05', 'Durable weather-resistant mat withstands seasonal changes and may be used outside or inside all year long'), ('Bullet06', 'Scraping surface helps clean shoes off before going inside'), ('Bullet07', 'Stain-resistant ChromaGrit surface also resists fading for long-lasting use'), ('Bullet08', 'Designed for outdoor use only'), ('Cleaning instructions', 'Garden hose'), ('Color Family', 'Browns / Tans'), ('Color/Finish', 'Brown'), ('Comfort', 'No'), ('Commercial / Residential', 'Residential'), ('Features', 'Cold Resistant,Stain Resistant,Water Resistant'), ('Flooring Product Type', 'Door Mat'), ('Indoor/Outdoor', 'Outdoor'), ('MFG Brand Name', 'Apache Mills'), ('Product Length (in.)', '30'), ('Product Thickness (in.)', '.375 in'), ('Product Width (in.)', '8.25'), ('Rug Shape', 'Rectangle')]",2,13,13,60,173,1204,12,0,0,0,0,0,1,False,False,False,False,0,0,86,6
4,2242,6895,101182,854- 1/2 in. x 7/8 in. x 8 ft. PVC FRP Inside Corner Moulding White,cornor board,1.67,101182,"Builders Edge Mounting Blocks decoratively provide a level and waterproof surface for all exterior fixtures. Mounting blocks are durable, maintenance-free, U.V. stabilized and constructed with color molded-through so they won't scratch, flake, or fade. Our patented Snap-On Trim Ring makes installation easy! Available in a wide range of colors to match your siding manufacturer or a Paintable (030) option to easily match your home. All of our Mounting Blocks also include a limited lifetime warranty. Made in the USA.Low profile, inset blockProvides level and waterproof surface for all exterior accessoriesInner Dimensions: 5.875 in. x 5.875 in. ; Outer Dimensions: 7.75 in. x 7.75 in.Color molded-throughUV stabilizedCannot be paintedLimited Lifetime WarrantyMade in the USAOuter Dimensions: 7-3/4 in. x 7-3/4 in.","[('Application', 'Wall Trim and Chair Rail'), ('Bullet01', 'FRP polymer extrusion is durable, low maintenance and easy to install'), ('Bullet02', 'Pre-finished in white and can be painted or stained'), ('Bullet03', 'Resists moisture, rot and termites'), ('Bullet04', 'Snaps into place on tile board and finishes corners where tiles meet'), ('Bullet05', '96 in. L'), ('Bullet20', 'Note: Product may vary by store'), ('Color Family', 'White'), ('Color/Finish', 'White'), ('Finish Type', 'Finished'), ('Interior/Exterior', 'Interior'), ('Material', 'Composite'), ('MFG Brand Name', 'Royal Mouldings'), ('Moulding Features', 'Moisture Resistant,Rot Resistant,Termite Resistant'), ('Moulding Type', 'Inside Corner'), ('Pattern Number', '0085408011'), ('Product Depth (in.)', '0.5'), ('Product Height (in.)', '96'), ('Product Length (in.)', '96'), ('Product Width (in.)', '0.875')]",2,12,15,67,119,817,15,0,0,0,0,0,1,False,False,False,False,0,0,59,7
5,2906,9020,101536,4-1/4 in. x 4-1/4 in. x 8 ft. Porch Column,vinyl porch posts,2.33,101536,"Regal and imposing, the 72 in. Cheshire Double Sink Vanity brings European ambiance to your master bath. The rich espresso finish is emboldened by the cabinet's sharp lines and gleaming hardware, which evoke a sense of modern sophistication. The Faux Marble top provides a crisp, clean contrast, while three drawers and two doors conceal generous storage space for all your bathroom necessities. A rimless mirror accentuates the minimalist style of this beautiful set.72 in. x 22 in. x 36 in. double sink vanity2 doors and three drawersDTC soft-closing hinge and DTC soft-closing hidden guiderIncluded: cabinet, sink, mirrorFaucet not includedSolid wood constructionBacksplash not includedLarge interior storage space provides ample storageFully-assembled vanity cabinet for fast and easy installationPractical floor-standing design","[('Bullet01', 'This product is 5 in. diameter x 8 ft.  height'), ('Bullet02', 'Easy to install'), ('Bullet03', 'Pre-finished white'), ('Bullet04', 'Suitable for residential load-bearing applications'), ('Interior/Exterior', 'Exterior'), ('Load bearing limit (lb.)', '5000'), ('MFG Brand Name', 'Unbranded'), ('Primed', 'Primed'), ('Product Depth (in.)', '5'), ('Product Height (in.)', '96'), ('Product Weight (lb.)', '19'), ('Product Width (in.)', '5'), ('Shape', 'Round'), ('Stair Part Type', 'Column'), ('Water Resistant', 'No')]",3,17,10,42,118,832,9,1,1,0,0,0,0,False,False,False,False,0,0,39,3
6,3245,10063,101720,Home Decorators Collection Brimfield 1-Light Aged Iron Outdoor Wall Lantern,Outdoor light motion sensor,2.33,101720,"The Zephyr Collection is well known for quality, style and value; this traditional incandescent light kit is no exception. Its quality craftsmanship makes it compatible for indoor locations. This accessory comes in oil rubbed bronze and is sure to accent your ceiling fan beautifully.UL listed for indoor applicationsVersatile enough to be used with all fans in the Zephyr collectionEasy installation instructions and template enclosed for convenient setupIncludes installation hardware","[('Bulb Type', 'Incandescent'), ('Bulb(s) Included', 'No'), ('Bullet01', 'Cast aluminum construction with aged iron finish'), ('Bullet02', 'Clear textured glass creates a diffused effect when illuminated'), ('Bullet03', 'Weather resistant materials for added durability'), ('Bullet04', 'Standard wall-mount installation'), ('Bullet05', 'Uses 1 medium-base bulb, 100-Watt maximum; not included'), ('Bullet06', 'UL listed'), ('Bullet07', 'Part of the Brimfield Collection'), ('Certifications and Listings', '1-UL Listed'), ('Dusk to Dawn', 'No'), ('ENERGY STAR Certified', 'No'), ('Exterior Lighting Product Type', 'Outdoor Lanterns'), ('Fixture Color/Finish', 'Aged Iron'), ('Glass/Lens Type', 'Seedy'), ('Light Source', 'Incandescent'), ('MFG Brand Name', 'Home Decorators Collection'), ('Motion Sensor', 'No'), ('Number of Bulbs Required', '1'), ('Outdoor Lighting Features', 'Weather Resistant'), ('Power Type', 'Hardwired'), ('Product Depth (in.)', '8.88'), ('Product Height (in.)', '12.75 in'), ('Product Length (in.)', '8.88 in'), ('Product Style', 'Cottage'), ('Product Weight (lb.)', '3.57'), ('Product Width (in.)', '7'), ('Style', 'Transitional'), ('UL Listing', '1-UL Listed'), ('Wattage (watts)', '100 W'), ('Weather Resistant', 'Yes')]",4,27,10,75,69,486,26,1,1,1,1,0,0,False,False,False,False,0,0,17,2
7,3289,10211,101749,Glacier Bay 36 in. x 29 in. Surface-Mount Mirrored Medicine Cabinet,cascade surface mount,2.0,101749,"Anco Contour Blades deliver a clear and quiet wipe in all season conditions. Equipped with the proprietary KwickConnect Installation System, these premium blades provide quick and easy wiper blade replacement for OE 9x3 hook, 3/16 in. side pin and 7 mm bayonet applications or when upgrading vehicles originally equipped with conventional style wiper blades.Premium beam blade for all season performanceInfinite amount of pressure points for better blade-to-windshield contactQuick and easy 5 minute installationOnly requires a small pocket screwdriver or needle nose pliersExclusive, advanced rubber compound provides a consistent streak-free wipeOE style directional spoiler prevents wind liftAdvanced 1-piece design resists corrosion and freezing","[('Assembled Depth (in.)', '4.25 in'), ('Assembled Height (in.)', '29.75 in'), ('Assembled Width (in.)', '36.00 in'), ('Assembly Required', 'No'), ('Bullet01', '2 adjustable shelves accommodate a variety of container shapes and sizes'), ('Bullet02', 'Tri-view design offers multiple viewing angles'), ('Bullet03', 'Solid wood cabinet is sturdy and built-to-last'), ('Bullet04', 'Beveled mirror edges create an elegant look and add depth and dimension to decor'), ('Bullet05', 'Adjustable hinges are concealed for a seamless appearance and for easier alignment'), ('Bullet06', 'Fully assembled for easy installation with no required hardware'), ('Bullet16', 'Note: Product may vary by store'), ('Cabinet material', 'Other'), ('Color Family', 'Silver'), ('Color/Finish', 'Beveled mirror'), ('Medicine Cabinet Width (in)', '36'), ('MFG Brand Name', 'Glacier Bay'), ('Mount Type', 'Surface Mount'), ('Number of Shelves', '2'), ('Shape', 'Rectangle'), ('Shelf width (in.)', '34.875'), ('Vanity Features', 'Adjustable Hinges,Adjustable Shelves,Concealed Hinges'), ('Vanity Included Components', 'No Additional Included Components'), ('Weight Capacity (lb.)', '21')]",3,21,11,67,102,749,11,0,0,0,0,0,0,False,False,False,False,0,0,34,3
8,4971,15562,102735,Rheem EcoSense 9.5 GPM Liquid Propane Gas High Efficiency Indoor Tankless Gas Water Heater,water heater gas controlling unit,2.0,102735,"The Honeywell Universal True HEPA Replacement Filter captures up to 99.97% of particles such as household dust, smoke, pollen, mold spores and pet dander from the air that passes through the filter. Overall particle reduction is dependent on many factors, including the amount of air processed, the pollutant type and the pollutants' introduction rate into the environment.  Filters should be replaced every 1 to 5 years depending on use.Each HRF-D1 contains 1 HEPA filter and 1 gasketFor use with Honeywell Air Purifier Model Series: 10500, 10590, 17000 and 50100For air purifier model 17000 (or HEPA filter no. 20500) two HRF-D1 filters are neededFor air purifier model 17005 (or HEPA filter no. 20500) two HRF-D1 filters are neededFor air purifier model 10500 (or HEPA filter no. 20500) two HRF-D1 filters are neededFor air purifier model 17352 (or HEPA filter no. 83154) two HRF-D1 filters are needed","[('Automatic Shut-off', 'No'), ('Bullet01', 'Schedule 40 PVC for easier venting installation'), ('Bullet02', 'A 9.5 GPM tankless water heater at a 35\xc2\xb0 temperature rise can provide enough hot water to supply a 3 bathroom home'), ('Bullet03', 'Tankless gas water heaters heat water on demand, saving energy compared to many standard gas tank-type water heaters'), ('Bullet04', '12-year limited warranty on heat exchanger and 5-year limited warranty on parts'), ('Bullet05', '0.94 energy factor meets or exceeds minimum energy efficiency standards'), ('Bullet06', 'Remote digital display shows precise temperature setting and maintenance codes'), ('Bullet07', 'ENERGY STAR qualified to meet or exceed federal guidelines for energy efficiency'), ('Bullet08', 'Ability to link two like units together for high demand applications with the EZ-link cable (sold separately)'), ('Bullet09', 'Horizontal 3 in. vent termination kit SP20286 included with unit'), ('Bullet10', 'Up to 94% efficient - lowest operating cost'), ('Certifications and Listings', '1-UL Listed,CSA Listed'), ('ENERGY STAR Certified', 'Yes'), ('Finish Family', 'Gray'), ('Flow Rate @ 35 F Rise (gallons/min)', '9.5'), ('Flow Rate @ 45 F Rise (gallons/min)', '8.4'), ('Flow Rate @ 55 F Rise (gallons/min)', '6.8'), ('Flow Rate @ 65 F Rise (gallons/min)', '5.8'), ('Fuel Type', 'Gas'), ('Gas Connection Size', '0.75'), ('Gas Product Type', 'Commercial & Residential'), ('Gas Type', 'Liquid Propane'), ('Indoor/Outdoor', 'Indoor'), ('Maximum Temperature  (F)', '140'), ('MFG Brand Name', 'Rheem EcoSense'), ('Minimum Activation Rate (gpm)', '.40'), ('Minimum Temperature (F)', '85'), ('Pilot Light', 'No'), ('Point-Of-Use', 'No'), ('Product Depth (in.)', '9.75'), ('Product Height (in.)', '27.5'), ('Product Weight (lb.)', '82'), ('Product Width (in.)', '18.5'), ('Residential/Commercial/industrial Use', 'Residential or commercial'), ('Total BTU', '199900 Btu'), ('Vent diameter (in.)', '5'), ('Vent Type', 'Single Wall'), ('Water Connection Location', 'Bottom'), ('Water Connection Size (in.)', '0.75'), ('Water Heater Features', 'Ultra LoNox,Wall Mountable')]",5,33,14,90,145,904,14,3,3,0,0,0,7,False,False,False,False,1,1,29,2
9,4975,15590,102741,BLACK+DECKER 120-MPH 90-CFM Lithium-Ion 40-Volt Cordless Electric Sweeper,leaf blower cordless,2.33,102741,"The Perfectoe Series White Single-Pole Integral Thermostat Kit is designed to hook up to your Perfectoe Series heater to provide built-in temperature control. This unit features a 2-wire connection, and its single-pole design engages the thermostat in the low position when turned fully counterclockwise.Single-pole (2 wire) switch kit for built-in control of the Perfectoe Series heaterEasy-to-use adjustable dialSet point range: 45 degrees F - 80 degrees FThermostat is in low position when the knob is turned completely counterclockwiseWhite knob coordinates with your Perfectoe heater","[('Antivibration', 'No'), ('Assembled Depth (in.)', '14.625 in'), ('Assembled Height (in.)', '6.313 in'), ('Assembled Width (in.)', '10.625 in'), ('Assembly Required', 'Yes'), ('Batteries Included', 'Yes'), ('Battery Type Required', '40-Volt Lithium Ion'), ('Blower Type', 'Handheld Blower'), ('Bullet01', 'Efficient design easily clears debris from hard surfaces'), ('Bullet02', '40-volt Lithium-Ion battery'), ('Bullet03', 'Power command speed control'), ('Bullet04', 'Lightweight at just 4.7 lbs.'), ('Bullet05', 'Low noise design'), ('Bullet06', 'Blow tube with built-in scraper'), ('Bullet07', 'Soft grip handle'), ('Bullet08', '120-MPH'), ('Bullet09', 'Includes LSW36 cordless sweeper, LBX36 40-volt Lithium-Ion battery, LCS36 40-volt fast charger and blow tube'), ('Bullet10', 'Fast charger recharges 40-volt battery in about 1 hour'), ('Certifications and Listings', '1-UL Listed'), ('Charger Included', 'Yes'), ('Commercial', 'No'), ('Engine Cycles', 'Electric Motor'), ('Interchangeable nozzle connections', 'No'), ('Maximum air speed (mph)', '120'), ('Maximum Air Volume (CFM)', '90'), ('MFG Brand Name', 'BLACK+DECKER'), ('Noise rating (dB)', '66'), ('Number of Batteries Required', '1'), ('Product Weight (lb.)', '6.8'), ('Reconditioned', 'No'), ('Start Type', 'Electric'), ('Variable speeds', 'Yes'), ('Voltage (volts)', '40')]",3,20,8,73,84,588,12,1,1,0,0,0,1,False,False,False,False,0,0,28,2
